API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123309940000,383.02301,0.00799,1.00925,9.406144633607028,65.0,2019/3/13 17:34:36
5123309950100,68.57223,0.03202,1.13527,1.0903702276382443,0.0,2019/3/13 17:34:46
5123310170000,422.44053,0.03306,0.97368,9.055028963221538,0.0,2019/3/13 17:35:9
5123310330000,189.79663,0.01821,1.203,6.44083602393093,0.0,2019/3/13 17:35:13
5123310640000,221.78275,0.00867,1.38138,7.440899606474903,0.0,2019/3/13 17:35:37
5123311810000,554.07231,0.00468,0.44291,28.503831208329338,0.0,2019/3/13 17:35:57
5123311910000,141.64774,0.01999,0.94651,7.079363672320277,37.0,2019/3/13 17:36:18
5123312210000,141.63199,0.01827,1.00232,3.975954106520212,0.0,2019/3/13 17:37:19
5123312370000,366.05543,0.02731,1.332,8.0739933006292,0.0,2019/3/13 17:37:22
5123312540000,1340.27616,1.0,1.60005,8.315021583856227,0.0,2019/3/13 17:37:28
5123312750000,523.41466,0.00965,0.95085,14.334470318614956,0.0,2019/3/13 17:37:44
5123313510000,814.02975,0.05241,1.18408,11.894948351721828,0.0,2019/3/13 17:38:5
5123314000100,333.05498,0.00825,0.92724,6.53874391325942,41.0,2019/3/13 17:38:11
5123314170100,295.99262,0.0032,0.53722,7.900615283934713,13.0,2019/3/13 17:38:18
5123314200000,1318.47863,0.57649,1.53639,16.59293346626422,0.0,2019/3/13 17:38:31
5123314420000,515.15899,0.00381,0.63218,21.021842357955205,0.0,2019/3/13 17:38:41
5123314770000,479.55305,0.05604,1.09466,13.762659159271207,0.0,2019/3/13 22:17:21
5123314930000,392.34358,0.058,1.09734,12.571786207437235,0.0,2019/3/13 22:17:25
5123315070000,278.94217,0.03968,1.09343,5.077990331755613,0.0,2019/3/13 22:17:28
5123315130000,167.65764,0.00281,0.51906,10.335121519443566,0.0,2019/3/13 22:17:41
5123315580000,261.33408,0.06598,1.10068,5.050493574059097,0.0,2019/3/13 22:18:4
5123315980100,45.55344,0.00861,0.68206,7.269986393322159,0.0,2019/3/13 22:18:12
5123316420100,54.39926,0.00182,0.48194,7.316968017371185,0.0,2019/3/13 22:18:18
5123316440000,230.43375,0.00724,0.83278,13.801800958030292,0.0,2019/3/13 22:19:18
5123317380000,220.50025,0.04169,1.04109,3.9363401981651913,0.0,2019/3/13 22:19:24
5123317950000,193.69879,0.21941,1.5197,14.2631555221198,0.0,2019/3/13 22:19:28
5123317960000,346.21271,0.01328,1.03602,6.713094795112789,0.0,2019/3/13 22:19:31
5123319390000,315.93649,0.05133,0.98861,3.41601594846614,0.0,2019/3/13 22:19:36
5123319730100,283.81897,0.00094,0.001,41.257728985672905,0.0,2019/3/13 22:19:42
5123319760000,120.40649,0.00601,0.84998,15.629692826891223,0.0,2019/3/13 22:20:3
5123320320000,197.90935,0.03581,1.05978,7.201841210137852,0.0,2019/3/13 22:20:8
5123320360000,298.74046,0.15196,1.16513,72.21996358511073,0.0,2019/3/13 22:20:17
5123320760000,285.34924,0.05653,1.19523,4.111536935553422,0.0,2019/3/13 22:20:24
5123320810100,240.19016,0.04271,0.86162,4.174910592805521,0.0,2019/3/13 22:20:39
5123321560000,139.66122,0.01238,1.01863,3.652214589874924,0.0,2019/3/13 22:20:42
5123322170000,73.89627,0.00786,1.04208,6.975317207264511,14.0,2019/3/13 22:21:6
5123322440000,245.44055,0.02134,1.12459,10.236958622922863,0.0,2019/3/13 22:21:10
5123322900100,246.62426,0.00661,0.67536,18.43448327641356,0.0,2019/3/13 22:21:31
5123323180000,337.63906,0.0118,0.93003,34.088190520627954,26.0,2019/3/13 22:21:43
5123323280000,346.71748,0.03525,1.21897,2.442747434863541,0.0,2019/3/13 22:21:47
5123323560000,61.72279,0.00849,2.0,2.728254748261503,0.0,2019/3/13 22:22:2
5123324240000,82.48497,0.01079,1.4523,6.868780313126809,0.0,2019/3/13 22:22:16
5123324260000,574.08489,0.22128,1.4142,5.823602771672869,0.0,2019/3/13 22:22:21
5123324450100,186.96984,0.00617,0.7089,12.457397651469691,0.0,2019/3/13 22:22:29
5123324550000,252.75407,0.0093,0.61303,10.278587330613432,0.0,2019/3/13 22:22:33
5123324570000,164.09822,0.00508,0.75377,16.747538329535168,0.0,2019/3/13 22:22:41
5123324860100,95.16298,0.08751,1.03113,12.169638262898088,28.0,2019/3/13 22:23:40
5123324870100,37.59794,0.01865,1.07487,8.563042266311355,57.0,2019/3/13 22:23:57
